filename,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,entropy,sharpness,has_nan
J143541.92+142315.4.jpg,800,800,RGB,42.94918385416667,29.68503202918079,0,255,6.418242369130072,13865.549950139999,False
J104353.29+315225.5.jpg,800,800,RGB,45.803294270833334,36.424436524494745,0,255,6.697308181738183,14588.999003115001,False
J142337.94+173938.2.jpg,800,800,RGB,39.75943489583333,28.484269339142685,0,255,6.435594719658193,13123.09184309,False
J161128.10+070254.4.jpg,800,800,RGB,40.693275,30.541720764789513,0,255,6.307135719428309,12306.52629371,False
J082025.06+545428.6.jpg,800,800,RGB,40.93736927083334,32.88331885869487,0,255,6.356270868060842,14247.811665250001,False
J102343.19+140750.1.jpg,800,800,RGB,38.97013385416667,30.17924321506698,0,255,6.515394227702153,13824.801919190002,False
J151331.19+373902.5.jpg,800,800,RGB,48.1503453125,35.50035447204965,0,255,6.704519541168648,14166.565559609997,False
J144535.05+155542.0.jpg,800,800,RGB,40.561061458333334,29.481225110200324,0,255,6.45115073001847,13417.49477731,False
J113535.41+235954.3.jpg,800,800,RGB,44.583480208333334,36.584991085436705,0,255,6.730061786842173,14250.573326624999,False
J213549.12+000755.9.jpg,800,800,RGB,42.7747015625,30.171100332960346,0,255,6.267587869670976,14460.899916235,False
J084043.34+035011.0.jpg,800,800,RGB,41.05718072916667,29.427561745072342,0,255,6.387040490566421,12786.757589385,False
J144113.05+095057.0.jpg,800,800,RGB,39.047969270833335,28.207888201025536,0,255,6.465325520795577,13595.066347114998,False
J170238.10+783333.9.jpg,800,800,RGB,50.940617708333335,37.76284792118355,0,255,6.663510727711421,14765.05479375,False
J082445.34+544707.0.jpg,800,800,RGB,48.407378125,34.070635532130474,0,255,6.580870850137322,13987.418465284998,False
J095133.45+580318.9.jpg,800,800,RGB,47.15911770833333,35.599134122965616,0,255,6.671855608751311,14437.362225510002,False
J234801.43+140334.9.jpg,800,800,RGB,38.050853645833335,29.712650536893182,0,255,6.461395083776036,13396.20980584,False
J132231.82+064907.5.jpg,800,800,RGB,43.1273515625,34.91960398568444,0,255,6.472185517575826,13897.401804125002,False
J135103.07+572337.6.jpg,800,800,RGB,42.52868177083333,31.23403684387203,0,255,6.426686184973996,14981.246304790002,False
J210135.66+002059.0.jpg,800,800,RGB,39.865822916666666,30.17267784232906,0,255,6.3329678494835155,13770.759189010001,False
J134218.54+065608.8.jpg,800,800,RGB,41.74545364583334,28.30581663956628,0,255,6.395495787340629,14149.418216315002,False
J010303.61+323907.5.jpg,800,800,RGB,41.85115,31.362531402442098,0,255,6.589701558798054,12356.233531810001,False
J103252.99+120534.0.jpg,800,800,RGB,43.18017135416667,34.46454091483938,0,255,6.490045132945894,11387.751686985,False
J134843.43+025231.0.jpg,800,800,RGB,42.697815104166665,31.95883490616583,0,255,6.62988320604718,13939.46156875,False
J114045.53+422704.9.jpg,800,800,RGB,44.67322083333333,34.21274045039702,0,255,6.416861291717217,14896.910570875001,False
J004136.84+212425.6.jpg,800,800,RGB,43.3255671875,36.46295863421659,0,255,6.67664831134576,14122.670209765,False
J133920.20+653633.8.jpg,800,800,RGB,42.31689114583333,28.298017272667575,0,255,6.391015727060223,14322.585173285002,False
J125212.24+072518.7.jpg,800,800,RGB,41.902484375,33.48206797853961,0,255,6.537223743199113,13546.180520459997,False
J081228.55+432516.0.jpg,800,800,RGB,45.25197708333334,35.78362897109712,0,255,6.346490478085386,14685.113947840002,False
